data;

param n:=10;
param  w1:     1    2:=
1	0.707106781	0.707106781
2	0	1
3	-0.707106781	0.707106781
4	-1	0
5	-0.707106781	-0.707106781
6	0	-1
7	0.707106781	-0.707106781
8	1	0;

param: E : l :=
3    2    312.07851576165893
2    3    312.07851576165893
3    10    1158.5525452045756
10    10    0
10    9    393.7321424522006
9    8    288.0433995077825
8    9    288.0433995077825
9    3    958.0005219205259
3    10    1158.5525452045756
10    9    393.7321424522006
10    9    393.7321424522006
10    10    0
2    10    1014.1247457783485
10    3    1158.5525452045756
10    8    681.6171946187977
8    9    288.0433995077825
8    9    288.0433995077825
8    8    0
10    10    0
;

param  v:     1    2:=
1	210	119
2	203	431
3	184	799
4	654	804
5	1148	799
6	1124	406
7	1119	118
8	664	114
9	648	451
10	868	275;   
