
param n:=24;
  
param: E : l1 l2 :=
1 16 17    91.24143795401397  186.4242473499625
17 16 15   186.4242473499625  318.9874605685935
2 3 16   265                  273.70787347096905
1 17 2    229.71504086562283  248.2438317461282
3 2 4     265                 348.28293096274473
5 6 7     186.59314028120113  233.43093196955715
7 8 11    383.25578925783265  630.1571232636677
8 24 23   238.05251521460553  163.44112089679268
9 23 24   149.05368160544967  163.44112089679268
9 23 10   149.05368160544967  225.00222221124633
9 10 11   273.7535387899123   308.0259729308553
18 11 8   200.2498439445428    630.1571232636677
11 18 19  200.2498439445428   339.52466773417217
18 20 14  201.16162655934158   131.88252348207476
21 20 14  302.2730553656229   131.88252348207476
16 15 14  318.9874605685935   417.8097653238852
22 13 14  179.2344832893492   437.73279520730455
13 12 14  237.39418695502476  371.40005385075244
12 14 11  371.40005385075244  311.0064308014312
11 14 20  311.0064308014312  131.88252348207476
2 4 5     348.28293096274473  297.1952220342716;

param: E1 : l3 l4 :=
14 13 12  437.73279520730455  237.39418695502476;

param  v:     1    2:=
1	90	94
2	510	91
3	351	303
4	784	306
5	977	80
6	1161	49
7	1298	239
8	1329	620
9	1175	721
10	946	871
11	702	683
12	382	885
13	148	844
14	439	517
15	22	491
16	105	183
17	290	206
18	692	483
19	1026	544
20	507	404
21	207	367
22	127	666
23	1171	870
24	1334	858;
