data;

param n:=24;
param  w1:     1    2:=
1	0.707106781	0.707106781
2	0	1
3	0.707106781	-0.707106781
4	1	0;

param: E : l :=
2    12    420.0047618777695
8    12    265
8    15    433.01039248498415
15    17    297.1952220342716
17    19    186.59314028120113
19    22    233.43093196955715
22    23    383.25578925783265
21    23    184.16568627164492
16    21    273.7535387899123
14    16    308.0259729308553
9    14    377.8901956923127
5    9    237.39418695502476
5    10    437.73279520730455
1    10    417.8097653238852
1    3    318.9874605685935
2    3    91.24143795401397
2    7    229.71504086562283
3    7    186.4242473499625
3    8    273.70787347096905
7    8    114.58621208504974
7    12    248.2438317461282
12    15    348.28293096274473
15    23    628.984101547885
14    23    630.1571232636677
10    14    311.0064308014312
9    10    371.40005385075244
14    21    474.5239719972006
13    14    200.2498439445428
13    18    339.52466773417217
11    13    201.16162655934158
10    11    131.88252348207476
6    11    302.2730553656229
4    5    179.2344832893492
16    20    225.00222221124633
20    21    149.05368160544967
21    24    209.8809186184575
23    24    238.05251521460553
20    24    163.44112089679268
;

param  v:     1    2:=
1    22    491
2    90    93.00000000046566
3    105    183
4    127    666
5    148    844
6    207    366.9999999990687
7    290    206
8    351    303
9    382    884.0000000004657
10    439    517
11    507    404
12    510    91
13    692    483
14    702    682.9999999995343
15    784    306
16    946    870.9999999995343
17    977    80
18    1026    544
19    1161    49
20    1171    870
21    1175    720.9999999995343
22    1298    238.00000000046566
23    1329    620
24    1334    858;   
